sentence,logit,prediction,sentiment_score
"Investors in COVID-19 stocks face turmoil in coming weeks on vaccine data readouts,?",[0.01631604 0.9358412  0.0478428 ],negative,-0.91952515
"""Pfizer, BioNTech talk with FDA about COVID-19 vaccine testing in children - Reuters"",?",[0.08400453 0.01341339 0.9025821 ],neutral,0.07059114
"Pfizer/BioNTech present additional data on new COVID-19 vaccine candidate; marketing application could happen in October,?",[0.04961809 0.00564921 0.9447327 ],neutral,0.04396888
"J&amp;J planning 60K-subject study to test COVID-19 vaccine,?",[0.04933448 0.03975359 0.9109119 ],neutral,0.009580892
"Pfizer/BioNTech pivot to new COVID-19 vaccine candidate with better safety profile,?",[0.9234796  0.01852762 0.05799276],positive,0.904952
"Investors bag profits in COVID-19 vaccine players after run-up,?",[0.2715537  0.63756925 0.09087714],negative,-0.36601555
"Pfizer/BioNTech COVID-19 vaccine continues to show strong effect in early-stage study,?",[0.6956419  0.01341379 0.2909444 ],positive,0.6822281
"Moderna supply deal lifts COVID-19 vaccine players,?",[0.81055593 0.07783066 0.11161342],positive,0.73272526
"Russia nod on COVID-19 vaccine a propaganda win for Putin - NYT,?",[0.43382865 0.2235851  0.34258622],positive,0.21024355
"Putin claims Russia has developed the first coronavirus vaccine,?",[0.0917828  0.01366797 0.89454925],neutral,0.07811483
"Pfizer board member Ronald Blaylock buys $500K of company stock,?",[0.10047155 0.01747499 0.88205343],neutral,0.08299656
"Gilead contracts Pfizer to make COVID drug remdesivir,?",[0.38475934 0.03314775 0.5820929 ],neutral,0.35161158
"Trump signs executive action to boost U S  production of 'essential' drugs,?",[0.9132695  0.01540009 0.07133038],positive,0.8978694
"Current value of COVID-19 vaccine players overly bullish - Leerink,?",[0.03165427 0.87538695 0.09295876],negative,-0.8437327
"Bristol Myers prevails in Eliquis patent challenge from generic drugmakers,?",[0.82809705 0.12353729 0.04836578],positive,0.70455974
"Pfizer and BioNTech ink COVID-19 vaccine supply deal in Canada,?",[0.17051436 0.02307495 0.8064107 ],neutral,0.1474394
"Novavax up 17% on early-stage COVID-19 vaccine data,?",[0.9225488  0.05309463 0.02435655],positive,0.86945415
"ViiV Healthcare infringement suit against Gilead to continue - judge,?",[0.03548652 0.7654022  0.19911131],negative,-0.7299157
"""Pfizer, BioNTech pledge 120M doses of COVID vaccine to Japan"",?",[0.34606662 0.04829868 0.6056346 ],neutral,0.29776794
"Moderna floating COVID-19 vaccine price up to $60 per course,?",[0.03533867 0.03501106 0.92965025],neutral,0.00032760203
"Pfizer to seek FDA emergency use nod for COVID-19 vaccine as early as October,?",[0.18674918 0.06179198 0.7514588 ],neutral,0.12495719
"Pfizer +3% after Q2 beat and stronger than expected full-year guidance,?",[0.9191212  0.05508413 0.0257947 ],positive,0.8640371
"""Pfizer EPS beats by $0 12, beats on revenue"",?",[0.26677576 0.0742811  0.6589432 ],neutral,0.19249466
"""Pfizer, BioNTech rise as they start late-stage vaccine human trial"",?",[0.07957434 0.02049471 0.8999309 ],neutral,0.059079632
"Pfizer Q2 2020 Earnings Preview,?",[0.07148645 0.17806995 0.7504435 ],neutral,-0.1065835
"EU talks to procure COVID-19 supply stalled over financial issues,?",[0.01220901 0.9649254  0.02286559],negative,-0.9527164
"BioMarin files EU marketing application for vosoritide for type of dwarfism,?",[0.06278264 0.08002142 0.857196  ],neutral,-0.01723878
"Transgene up 9% on positive HPV therapeutic vaccine data,?",[0.91759634 0.058993   0.02341073],positive,0.85860336
"""Pfizer, BioNTech ink deal with U S  government for 600M doses of COVID-19 vaccine"",?",[0.7503922  0.02685378 0.222754  ],positive,0.7235384
"COVID-19 vaccine makers have different plans on pricing,?",[0.03839271 0.02571319 0.93589413],neutral,0.012679525
"BioNTech selling shares; Pfizer to take down chunk of offering,?",[0.03786106 0.56021345 0.4019255 ],negative,-0.5223524
"Pfizer/BioNTech COVID-19 vaccine candidate shows strong immunogenicity in early-stage study,?",[0.82869244 0.01151057 0.15979698],positive,0.8171819
"Vaccine names on the move ahead of Oxford study,?",[0.05000289 0.05733293 0.8926642 ],neutral,-0.0073300414
"Pfizer and BioNTech to supply 30M doses of BNT162 vaccine candidate in UK,?",[0.3440268  0.01773237 0.6382408 ],neutral,0.32629442
"EU in talks with Moderna and others for COVID-19 vaccine supply,?",[0.17774051 0.01532544 0.80693406],neutral,0.16241507
"More positive news on the COVID-19 vaccine front,?",[0.31937358 0.0205705  0.6600559 ],neutral,0.29880306
"""Healthcare resilient, but still looking for a breakout moment"",?",[0.5909431  0.05366684 0.3553901 ],positive,0.53727627
"Market pares gains as momentum stocks lose some steam,?",[0.01468709 0.955355   0.0299579 ],negative,-0.9406679
"Syneos Health inks new service agreement with Pfizer,?",[0.7219629  0.01305262 0.2649844 ],positive,0.7089103
"Pfizer COVID-19 vaccine candidates nab accelerated review status in U S ,?",[0.10960793 0.03158675 0.85880536],neutral,0.078021176
"""Bill Gates calls for COVID-19 drugs to go where needed, not 'highest bidder'"",?",[0.1454449  0.00796311 0.84659207],neutral,0.1374818
"Pfizer pledges $100M to fund for new antibiotics,?",[0.09227851 0.00579007 0.9019314 ],neutral,0.08648844
"Moderna completes enrollment in mid-stage study of COVID-19 vaccine,?",[0.61735433 0.02872269 0.35392296],positive,0.58863163
"FDA OKs ViiV Healthcare's fostemsavir for HIV-1,?",[0.05484915 0.1466526  0.7984982 ],neutral,-0.09180345
"Moderna -4 8% after report COVID-19 vaccine trial is delayed,?",[0.02020696 0.9238195  0.05597357],negative,-0.9036125
"Pfizer/BioNTech COVID-19 vaccine candidate shows encouraging action in early-stage study,?",[0.8360516  0.01692866 0.14701982],positive,0.8191229
"BioNTech and Pfizer on the move on Covid-19 vaccine data,?",[0.07163318 0.11259665 0.8157702 ],neutral,-0.040963463
"FDA OKs Pfizer's Bavencio for maintenance of bladder cancer that has not progressed,?",[0.23410064 0.17920662 0.5866927 ],neutral,0.054894015
"FDA guides on COVID-19 vaccine approval criteria,?",[0.03657035 0.01064005 0.95278955],neutral,0.0259303
"Vaxart +70% after Covid-19 'Warp Speed' designation for its vaccine,?",[0.7467954  0.07597692 0.1772277 ],positive,0.6708185
"European advisory group backs new uses of five meds,?",[0.6490633  0.01743929 0.33349746],positive,0.631624
"Aptevo rallies on royalty stream from rituximab biosimilar,?",[0.34394044 0.0156803  0.64037925],neutral,0.32826012
"Pfizer declares $0 38 dividend,?",[0.0577802  0.6646676  0.27755213],negative,-0.6068874
"""COVID-19 Update: NY and NJ impose inbound quarantine, CA and TX cases surge"",?",[0.07892203 0.589492   0.3315859 ],negative,-0.51057
"Pfizer teams up with Wellcome in antibiotic resistance surveillance program in Africa,?",[0.49447757 0.01433385 0.49118862],positive,0.48014373
"Dosing underway in Oncolytics Bio combo study in breast cancer,?",[0.08303038 0.01367026 0.9032994 ],neutral,0.06936012
"Pfizer launches four late-stage studies on vaccine candidates,?",[0.06150273 0.01001175 0.9284856 ],neutral,0.051490977
"Pfizer/Sangamo gene therapy shows positive effect in early-stage hemophilia A study,?",[0.734555   0.02956329 0.23588169],positive,0.7049917
"Upjohn prices debt offering in connection with Mylan merger,?",[0.06220389 0.02369311 0.914103  ],neutral,0.038510773
"Pfizer and Merck's diabetes med Steglatro shows mixed results in cardiovascular outcomes study,?",[0.01775952 0.94439465 0.03784592],negative,-0.92663515
"FDA OKs expanded label for Pfizer's antibody-drug conjugate Mylotarg,?",[0.58550113 0.03643279 0.37806606],positive,0.54906833
"FDA OKs expanded use of ViiV HIV med Tivicay,?",[0.73593193 0.0328589  0.23120914],positive,0.703073
"FDA OKs Pfizer's Neulasta biosimilar,?",[0.05844748 0.42876184 0.5127907 ],neutral,-0.37031436
"States go after generic drugmakers for alleged price-fixing,?",[0.01771278 0.91674685 0.06554037],negative,-0.8990341
"Three key studies of COVID-19 vaccines to launch in summer,?",[0.05768608 0.00805446 0.9342594 ],neutral,0.049631618
"Pfizer's abrocitinib shows positive action in kids with atopic dermatitis,?",[0.5518555  0.0486111  0.39953342],positive,0.5032444
"China in thick of race for COVID-19 vaccine,?",[0.3256775  0.15042603 0.52389646],neutral,0.17525148
"Pfizer announces publication of successful abrocitinib study in atopic dermatitis,?",[0.58767104 0.07043813 0.34189084],positive,0.5172329
"White House picks five COVID vaccine candidates for Warp Speed initiative,?",[0.09721453 0.01676734 0.88601816],neutral,0.0804472
"Shortage of antidepressant Zoloft,?",[0.02801289 0.878858   0.09312915],negative,-0.8508451
"Pfizer selloff enhancing attractiveness - WSJ,?",[0.7306086  0.03813905 0.23125234],positive,0.69246954
"Immutep reports encouraging preliminary data on lead drug eftilagimod alpha,?",[0.92299116 0.02438314 0.05262577],positive,0.898608
"Pfizer comes up empty in Ibrance breast cancer study,?",[0.06076495 0.5428208  0.3964143 ],negative,-0.48205587
"""'99%' chance Covid-19 vaccine will be effective, Sinovac claims"",?",[0.795942   0.01993433 0.18412372],positive,0.77600765
"Astellas' Xtandi OK'd in Japan for new prostate cancer indication,?",[0.21728183 0.03228329 0.7504349 ],neutral,0.18499854
"Roche's Alecensa increases survival in certain lung cancer patients,?",[0.6396894  0.03565421 0.3246564 ],positive,0.6040352
"All eyes on ASCO,?",[0.03375925 0.19488901 0.77135175],neutral,-0.16112976
"Moderna correction pressures COVID-19 vaccine developers,?",[0.06085465 0.3189255  0.6202198 ],neutral,-0.25807086
"Vaxcyte files for IPO,?",[0.03710129 0.16984393 0.79305476],neutral,-0.13274264
"Pfizer urges noteholders to reject offer by Huguenot Bond Liquidity,?",[0.07419022 0.8109588  0.11485101],negative,-0.7367686
"Syndax Pharma's entinostat comes up empty again in breast cancer study,?",[0.14043598 0.4213779  0.43818617],neutral,-0.2809419
"Pfizer prices $4B debt offering in four tranches,?",[0.03425319 0.01622771 0.9495191 ],neutral,0.018025484
"ViiV Healthcare's cabotegravir successful in HIV prevention study,?",[0.31615317 0.02069615 0.66315067],neutral,0.295457
"Small vaccine developers up in wake of Sorrento rally,?",[0.35846487 0.28066367 0.36087146],neutral,0.0778012
"Pfizer to advance DMD gene therapy candidate to Phase 3,?",[0.685782   0.01031726 0.30390063],positive,0.67546475
"Pfizer 20-valent pneumonia vaccine successful in second late-stage study,?",[0.80611426 0.02167475 0.172211  ],positive,0.7844395
"Pfizer sees expanded coronavirus vaccine trials,?",[0.22231005 0.01171093 0.76597905],neutral,0.21059912
"""Focusing on vaccine, Pfizer turns to outsourcing"",?",[0.16471659 0.01231702 0.82296634],neutral,0.15239957
"""Time to buy these biopharma names is now, BofA says"",?",[0.09786728 0.00687378 0.89525896],neutral,0.09099351
"Pfizer to review Duchenne gene therapy data May 15,?",[0.03356472 0.05653183 0.9099034 ],neutral,-0.022967104
"ICE partnership to identify fake coronavirus gear,?",[0.15855429 0.0303146  0.8111311 ],neutral,0.12823969
"White House may disband Coronavirus Task Force within weeks,?",[0.02860365 0.53201956 0.4393767 ],negative,-0.5034159
"Dosing underway in study of Pfizer and BioNTech COVID-19 vaccine,?",[0.05524492 0.03771649 0.9070386 ],neutral,0.017528422
"European advisory group backs expanded use of Pfizer's Braftovi &amp; Ecalta,?",[0.6973206  0.01283128 0.2898482 ],positive,0.6844893
"European advisory group backs Pfizer's glasdegib for AML,?",[0.10475166 0.57442284 0.32082552],negative,-0.4696712
"BioNTech and Pfizer complete dosing for first cohort of phase 1/2 trial for COVID-19 vaccine,?",[0.5020019  0.01707329 0.48092487],positive,0.4849286
"COVID-19 vaccine could be ready for emergency use by fall,?",[0.08760487 0.01904687 0.8933483 ],neutral,0.068558
"""Pfizer to make """"hundreds of millions"""" doses of COVID-19 vaccine next year - CEO"",?",[0.06074972 0.02232506 0.91692525],neutral,0.038424667
"Pfizer Eliquis sales up 29%; guidance affirmed,?",[0.9445003  0.02503732 0.03046228],positive,0.919463
"""Pfizer EPS beats by $0 09, beats on revenue"",?",[0.31501654 0.07110204 0.61388135],neutral,0.2439145
"Pfizer Q1 2020 Earnings Preview,?",[0.06859338 0.17160992 0.7597967 ],neutral,-0.10301654
"Vaccinex up 10% on updated pepinemab data in lung cancer,?",[0.9172173  0.05996881 0.02281384],positive,0.8572485
"Pfizer declares $0 38 dividend,?",[0.0577802  0.6646676  0.27755213],negative,-0.6068874
"European regulators on board with Mylan/Upjohn tie-up,?",[0.08276056 0.07406674 0.8431727 ],neutral,0.008693822
"Pfizer and BioNTech on go with COVID-19 vaccine study in Germany,?",[0.07745267 0.11894707 0.80360025],neutral,-0.04149439
"Money flow spikes in COVID-19 vaccine players amid rush for early data,?",[0.21546416 0.6953403  0.08919554],negative,-0.4798761
"Qiagen launches companion diagnostic to Braftovi regimen,?",[0.27129802 0.02101103 0.70769095],neutral,0.250287
"Airline industry package to be proposed this weekend: coronavirus briefing,?",[0.02486935 0.03614582 0.9389849 ],neutral,-0.011276472
"""Pfizer and BioNTech advancing COVID-19 vaccine, trials imminent"",?",[0.12625524 0.01264852 0.86109626],neutral,0.11360673
"Pfizer identifies lead COVID-19 candidate,?",[0.04564737 0.01539485 0.9389578 ],neutral,0.030252522
"FDA grants BTD tag to Bavencio for urothelial carcinoma,?",[0.7829218  0.03689145 0.1801867 ],positive,0.74603033
"FDA OKs Pfizer's Braftovi combo for certain type of colorectal cancer,?",[0.12646252 0.09944125 0.7740962 ],neutral,0.027021267
"Healthcare firms pile on initiatives as COVID-19 pandemic advances,?",[0.45723367 0.08793623 0.45483008],positive,0.36929744
"Incyte details late-stage data on ruxolitinib cream for atopic dermatitis,?",[0.05563159 0.04476258 0.89960575],neutral,0.010869008
"SIGA Tech up 6% on Canada military order of smallpox drug,?",[0.9035853  0.07151895 0.02489569],positive,0.83206636
"""Cowen bullish on Amarin, sees potential $20/share"",?",[0.4147698  0.12750842 0.45772174],neutral,0.28726137
"Pfizer prevails in patent dispute over emergency allergy med,?",[0.3085495  0.5999144  0.09153617],negative,-0.29136488
"""Pfizer completes first-ever """"green"""" bond"",?",[0.17829256 0.01777954 0.8039279 ],neutral,0.16051301
"Close of Mylan/Upjohn tie-up extended to H2,?",[0.08815383 0.27321246 0.63863367],neutral,-0.18505862
"Mylan down 4% on potential EpiPen safety issue,?",[0.01044918 0.9747337  0.01481717],negative,-0.96428454
"FDA OKs expanded use of Pfizer's Eucrisa; shares up 5% premarket,?",[0.9304399  0.03175993 0.03780025],positive,0.89868
"ViiV Healthcare long-acting HIV med OK'd in Canada,?",[0.05001215 0.13694139 0.8130464 ],neutral,-0.08692924
"Profit-taking pressures Moderna after Hahn comments on vaccine timeline,?",[0.02123464 0.94394976 0.03481563],negative,-0.9227151
"NantKwest launches mid-stage study of NK cells in rare skin cancer,?",[0.09409214 0.01629373 0.88961416],neutral,0.077798404
"Pfizer postpones investor event due to Covid-19,?",[0.02777538 0.8276996  0.144525  ],negative,-0.7999242
"Pfizer's abrocitinib successful in dermatitis study,?",[0.16230865 0.03432493 0.80336636],neutral,0.12798372
"Pfizer reports positive data on 20-valent pneumonia vaccine,?",[0.8461497  0.04405255 0.10979767],positive,0.80209714
"Ideaya teams up with Pfizer in cancer study,?",[0.17829797 0.01108653 0.81061554],neutral,0.16721143
"Pfizer teams up with BioNTech to develop COVID-19 vaccine,?",[0.6368909  0.01361987 0.3494892 ],positive,0.623271
"U S  stocks set to gap down at open,?",[0.01929652 0.9252266  0.05547683],negative,-0.9059301
"BioNTech up 55% premarket on advancement of coronavirus vaccine,?",[0.87713474 0.07963464 0.04323061],positive,0.7975001
"Pfizer and EMD Serono bail on study of avelumab in head and neck cancer,?",[0.1149162  0.10428971 0.7807941 ],neutral,0.010626487
"Generic anti-malarial may treat COVID-19 - Raymond James,?",[0.04624668 0.10836171 0.84539163],neutral,-0.062115036
"ViiV Healthcare re-ups with UNC-Chapel Hill,?",[0.05532769 0.04532898 0.8993434 ],neutral,0.009998713
"ViiV Healthcare reports positive data on less-frequent dosing of HIV regimen,?",[0.91701055 0.04179652 0.04119295],positive,0.87521404
"J&amp;J on short end of Remicade patent ruling,?",[0.04041779 0.7557262  0.20385602],negative,-0.7153084
"U S  authorities ramp up coronavirus plans on expected jump in cases,?",[0.28869644 0.40920618 0.3020974 ],negative,-0.12050974
"FDA accepts Pfizer application for novel pain med,?",[0.45205647 0.03903819 0.50890535],neutral,0.4130183
"Pfizer gets OK for Advil Dual Action,?",[0.7063258  0.12994398 0.16373014],positive,0.57638186
"Dems attack Trump over stalled efforts to lower drug prices,?",[0.01620423 0.9509424  0.03285347],negative,-0.93473816
"Expanded use of Pfizer's Vyndaqel Ok'd in Europe,?",[0.75988424 0.00811283 0.23200302],positive,0.7517714
"Pfizer axes license agreement with GlycoMimetics,?",[0.21733022 0.02029586 0.76237386],neutral,0.19703436
"Xtandi extends survival in late-stage prostate cancer study,?",[0.92015606 0.02240003 0.05744394],positive,0.89775604
"Goldman expects dividend all-stars to outperform,?",[0.1799711  0.80189717 0.01813167],negative,-0.62192607
"European advisory group backs Pfizer's Rituxan biosimilar,?",[0.12879544 0.34020817 0.5309963 ],neutral,-0.21141273
"European advisory group backs Pfizer's crisaborole for atopic dermatitis,?",[0.30516106 0.31159508 0.3832439 ],neutral,-0.0064340234
"Pfizer shares still soft after Q4 miss,?",[0.03058158 0.91856104 0.05085739],negative,-0.88797945
"Pfizer launches three biosimilars priced for market penetration,?",[0.10969015 0.00741484 0.882895  ],neutral,0.10227531
"Pfizer slips 1% after Q4 miss,?",[0.01371903 0.9637411  0.02253994],negative,-0.9500221
"""Pfizer EPS misses by $0 03, misses on revenue"",?",[0.01613492 0.9452269  0.03863817],negative,-0.929092
"Pfizer Q4 2019 Earnings Preview,?",[0.04714792 0.1741391  0.778713  ],neutral,-0.12699118
"Keytruda combo OK'd in Canada for first-line kidney cancer,?",[0.06293226 0.46487716 0.47219062],neutral,-0.4019449
"Pfizer to offer generic Viagra through digital health clinic,?",[0.06154921 0.0056066  0.9328442 ],neutral,0.055942606
"Opko Health up 12% on Frost comments,?",[0.9109458  0.05506914 0.03398513],positive,0.8558766
"Mylan up 3% on bullish forecast for Viatris,?",[0.8726064  0.10082015 0.02657343],positive,0.7717863
"ViiV Healthcare's Dovato OK'd in Japan,?",[0.05678978 0.11774131 0.8254689 ],neutral,-0.06095153
"Drugmakers getting creative over ways to pay for pricey meds,?",[0.26921806 0.0777887  0.65299326],neutral,0.19142936
"Biogen to acquire neurological disease candidate from Pfizer,?",[0.30251208 0.01579504 0.6816929 ],neutral,0.28671706
"Axsome in-licenses U S  rights to Pfizer's reboxetine,?",[0.05911391 0.01323627 0.92764986],neutral,0.045877643
"Zymeworks teams up with Pfizer in breast cancer study,?",[0.2345987  0.0190452  0.74635607],neutral,0.21555349
"Viiv Healthcare files fostemsavir application in Europe,?",[0.03619987 0.06123621 0.9025639 ],neutral,-0.025036342
"Nektar up 3% premarket on new Bristol-Myers collaboration,?",[0.8804646  0.08859422 0.03094116],positive,0.7918704
"California mulling private-label generics to address high drug costs,?",[0.38789636 0.04048318 0.57162046],neutral,0.34741318
"Pfizer teams up with eFFECTOR Therapeutics in cancer,?",[0.1842223  0.0090138  0.80676395],neutral,0.1752085
"Pfizer and Merck KGaA's Bavencio extends survival in urothelial cancer study,?",[0.68294835 0.04298263 0.27406898],positive,0.6399657
"End-of-year drug approvals in U S  associated with more adverse events - study,?",[0.129432   0.23464456 0.63592345],neutral,-0.10521257
"More drugmakers hike U S  prices as 2020 begins,?",[0.18898055 0.34099957 0.47001997],neutral,-0.15201902
"2019 leaders and laggards,?",[0.04704444 0.48457915 0.46837646],negative,-0.4375347
"""Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom"",?",[0.03133078 0.8605795  0.10808966],negative,-0.8292487
"Drugmakers to hike U S  prices of over 200 meds,?",[0.4761878  0.29905367 0.22475848],positive,0.17713413
"Barron's names 10 top stocks for 2020,?",[0.0309989  0.04910603 0.9198951 ],neutral,-0.018107133
"Pfizer licenses Theravance's JAK inhibitors for skin conditions,?",[0.10283332 0.01663554 0.88053113],neutral,0.08619777
"New indications for Merck's Keytruda OK'd in Japan,?",[0.30581737 0.01646386 0.6777188 ],neutral,0.28935352
"FDA accepts Pfizer's application for Braftovi doublet for colorectal cancer,?",[0.70079696 0.05912946 0.24007367],positive,0.6416675
"White House releases plan allowing drug imports from Canada,?",[0.3705066  0.03044211 0.59905124],neutral,0.3400645
"Sangamo updates on pipeline at R&amp;D Day,?",[0.04526567 0.40181583 0.5529185 ],neutral,-0.35655016
"FDA OKs expanded use of Astellas and Pfizer's Xtandi,?",[0.7239085  0.03598182 0.24010967],positive,0.68792665
"Amgen prevails in Epogen patent dispute with Hospira,?",[0.05088522 0.80318314 0.14593156],negative,-0.75229794
"Pfizer declares $0 38 dividend,?",[0.05778018 0.6646676  0.27755213],negative,-0.6068874
