sentence,logit,prediction,sentiment_score
"J&amp;J beats Q2 consensus; guidance raise tops estimates,?",[0.1954348 0.239996  0.5645692],neutral,-0.044561207
"""Johnson &amp; Johnson EPS beats by $0 16, beats on revenue"",?",[0.1701109  0.05103343 0.7788557 ],neutral,0.11907747
"Johnson &amp; Johnson Q2 2020 Earnings Preview,?",[0.06129792 0.21570744 0.7229947 ],neutral,-0.15440951
"FDA OKs J&amp;J's Tremfya for psoriatic arthritis,?",[0.04776311 0.11411091 0.83812594],neutral,-0.06634781
"""Healthcare resilient, but still looking for a breakout moment"",?",[0.5909431  0.05366684 0.3553901 ],positive,0.53727627
"Pressure builds on J&amp;J to halt global talc sales,?",[0.01157985 0.9645992  0.02382093],negative,-0.9530193
"Guardant Health teams up with Janssen to develop liquid biopsy diagnostic,?",[0.8058679  0.00975765 0.18437447],positive,0.7961103
"Emergent Bio inks five-year deal with J&amp;J for manufacture of COVID-19 vaccine,?",[0.15299161 0.00866109 0.8383473 ],neutral,0.14433052
"Moderna -4 8% after report COVID-19 vaccine trial is delayed,?",[0.02020696 0.9238195  0.05597357],negative,-0.9036125
"Johnson &amp; Johnson Ebola vaccine OK'd in Europe,?",[0.04548515 0.07869119 0.87582374],neutral,-0.033206042
"J&amp;J bails on Stelara for lupus,?",[0.07132288 0.80862665 0.12005046],negative,-0.7373038
"Vaxart +70% after Covid-19 'Warp Speed' designation for its vaccine,?",[0.7467954  0.07597692 0.1772277 ],positive,0.6708185
"European advisory group backs new uses of five meds,?",[0.6490633  0.01743929 0.33349746],positive,0.631624
"""COVID-19 Update: NY and NJ impose inbound quarantine, CA and TX cases surge"",?",[0.078922  0.5894921 0.3315859],negative,-0.5105701
"Unilever criticized over skin-lightening products,?",[0.01881741 0.9323869  0.04879572],negative,-0.91356945
"Court cuts J&amp;J talc verdict to $2 1B,?",[0.02038191 0.94813466 0.03148337],negative,-0.92775273
"FDA to review AbbVie application to update Imbruvica labeling,?",[0.11260954 0.10668822 0.78070223],neutral,0.005921319
"Halozyme earns $10M milestone from J&amp;J under Enhanze license,?",[0.8589493  0.02238004 0.11867071],positive,0.83656925
"Johnson &amp; Johnson drops skin-whitening creams amid environment over race issues,?",[0.01668909 0.94915897 0.034152  ],negative,-0.9324699
"Dr  Reddy's launches generic abiraterone acetate tablets in U S ,?",[0.12799644 0.02432328 0.84768033],neutral,0.10367316
"EU in talks with J&amp;J for supply of COVID-19 vaccine,?",[0.13223033 0.01660708 0.8511627 ],neutral,0.11562325
"Pfizer and Merck's diabetes med Steglatro shows mixed results in cardiovascular outcomes study,?",[0.01775952 0.94439465 0.03784592],negative,-0.92663515
"Barron's touts eight dividend stocks for the COVID-19 recession,?",[0.0362438  0.23665564 0.7271005 ],neutral,-0.20041184
"Momentum mover candidates on a down market day,?",[0.23102464 0.3893316  0.37964374],negative,-0.15830697
"Three key studies of COVID-19 vaccines to launch in summer,?",[0.05768608 0.00805446 0.9342594 ],neutral,0.049631618
"Johnson &amp; Johnson accelerates start of COVID-19 vaccine trial,?",[0.45219707 0.0316947  0.5161082 ],neutral,0.42050236
"Astellas' roxadustat successful in late-stage anemia study,?",[0.8604373  0.02101117 0.11855151],positive,0.8394261
"China in thick of race for COVID-19 vaccine,?",[0.3256775  0.15042606 0.52389646],neutral,0.17525145
"""Legend Biotech prices IPO, trading kicks off today"",?",[0.10347563 0.01244442 0.88408   ],neutral,0.09103121
"Subcutaneous formulation of J&amp;J's Darzalex OK'd in Europe,?",[0.03712604 0.07307264 0.8898013 ],neutral,-0.035946604
"Gilead and Galapagos' filgotinib shows sustained benefit in RA studies,?",[0.88722205 0.017592   0.09518598],positive,0.86963004
"White House picks five COVID vaccine candidates for Warp Speed initiative,?",[0.09721465 0.01676736 0.88601804],neutral,0.08044729
"Bristol-Myers' Orencia shows sustained benefit in post-market RA study,?",[0.9147473  0.01582618 0.06942641],positive,0.89892113
"Sanofi's isatuximab OK'd in Europe for multiple myeloma,?",[0.08686679 0.22254047 0.69059277],neutral,-0.13567367
"""'99%' chance Covid-19 vaccine will be effective, Sinovac claims"",?",[0.795942   0.01993433 0.18412365],positive,0.77600765
"European advisory group backs new indications of five meds,?",[0.7491294  0.021393   0.22947757],positive,0.7277364
"European advisory group backs J&amp;J Ebola vaccine regimen,?",[0.11075791 0.10963659 0.7796055 ],neutral,0.0011213198
"Moderna correction pressures COVID-19 vaccine developers,?",[0.06085467 0.31892562 0.6202197 ],neutral,-0.25807095
"Johnson &amp; Johnson to terminate talc-based baby powder sales in North America,?",[0.01554553 0.92681295 0.05764154],negative,-0.9112674
"J&amp;J reports first-time data on bispecific antibody candidates,?",[0.02650801 0.03380192 0.9396901 ],neutral,-0.0072939117
"Small vaccine developers up in wake of Sorrento rally,?",[0.35846487 0.28066367 0.36087146],neutral,0.0778012
"Halozyme bags $15M milestone from J&amp;J under Enhanze license,?",[0.7274898  0.02292219 0.24958806],positive,0.7045676
"FDA accepts Arbor Pharma application for ADHD med AR19,?",[0.35783795 0.03617848 0.60598356],neutral,0.32165945
"J&amp;J settles device litigation in West Virginia for $3 9M,?",[0.04247439 0.14964564 0.80788   ],neutral,-0.10717125
"FDA OKs subcutaneous version of J&amp;J's Darzalex,?",[0.04763174 0.08908457 0.8632837 ],neutral,-0.041452825
"European advisory group on board with subcutaneous Darzalex,?",[0.03657249 0.04736259 0.9160649 ],neutral,-0.010790098
"Alveo teams up with J&amp;J to advance at-home testing for COVID-19,?",[0.88425195 0.01096318 0.10478488],positive,0.87328875
"J&amp;J teams up with Catalent to supply COVID-19 vaccine,?",[0.7848131  0.0099844  0.20520249],positive,0.77482873
"COVID-19 vaccine could be ready for emergency use by fall,?",[0.08760487 0.01904687 0.8933483 ],neutral,0.068558
"""Pfizer to make """"hundreds of millions"""" doses of COVID-19 vaccine next year - CEO"",?",[0.06074972 0.02232506 0.91692525],neutral,0.038424667
"UBS heads to sidelines on J&amp;J after big rally,?",[0.09773073 0.3681867  0.5340826 ],neutral,-0.270456
"J&amp;J must face talc lawsuits - New Jersey court,?",[0.03325426 0.35073185 0.6160138 ],neutral,-0.31747758
"J&amp;J files application in Japan for subcutaneous formulation of Darzalex,?",[0.09827819 0.01188683 0.889835  ],neutral,0.08639136
"Heartburn meds for COVID-19  NY is trying it,?",[0.05914804 0.03250116 0.9083508 ],neutral,0.026646882
"J&amp;J files U S  applications for expanded use of IV golimumab,?",[0.05366157 0.02620311 0.9201353 ],neutral,0.027458468
"Tracon Pharma up 17% premarket on rights to cancer candidate TRC253,?",[0.8531103  0.11353043 0.03335925],positive,0.7395799
"J&amp;J to partner with Emergent Bio on coronavirus vaccine candidate,?",[0.693896   0.00986132 0.29624268],positive,0.6840347
"""Big universities, others to return $350M of PPP loans: coronavirus briefing"",?",[0.05427682 0.05162304 0.89410007],neutral,0.0026537813
"FDA OK new use of AbbVie's Imbruvica,?",[0.24149872 0.06102828 0.697473  ],neutral,0.18047045
"Money flow spikes in COVID-19 vaccine players amid rush for early data,?",[0.21546412 0.69534034 0.08919551],negative,-0.47987622
"Sanofi can produce up to 600M doses of COVID-19 vaccine - CEO,?",[0.03492879 0.02389723 0.9411739 ],neutral,0.011031562
"RemeGen candidate Fast Track'd for lupus,?",[0.08633059 0.08226776 0.83140165],neutral,0.004062824
"J&amp;J delivers strong Q1 but lowers guidance amid COVID-19 headwinds,?",[0.01350787 0.9751746  0.01131748],negative,-0.96166676
"""Johnson &amp; Johnson EPS beats by $0 30, beats on revenue"",?",[0.13994093 0.04266536 0.81739366],neutral,0.09727557
"Johnson &amp; Johnson raises dividend by 6%,?",[0.8544491  0.02526856 0.12028232],positive,0.82918054
"Johnson &amp; Johnson Q1 2020 Earnings Preview,?",[0.06347319 0.21581946 0.7207073 ],neutral,-0.15234627
"J&amp;J drops deal for Takeda's TachoSil surgical patch,?",[0.21996893 0.6061686  0.17386246],negative,-0.3861997
"""Amazon, Nike and Goldfish big winners in teen survey"",?",[0.59755147 0.04838444 0.3540641 ],positive,0.54916704
"Healthcare firms pile on initiatives as COVID-19 pandemic advances,?",[0.45723367 0.08793623 0.45483008],positive,0.36929744
"Fate Therapeutics up 23% after-hours on J&amp;J cell therapy deal,?",[0.92377687 0.05225331 0.02396989],positive,0.87152356
"J&amp;J postpones medical device review,?",[0.02253655 0.78554314 0.19192025],negative,-0.76300657
"J&amp;J picks lead Covid-19 vaccine candidate; shares gain,?",[0.75371116 0.14699875 0.09929007],positive,0.6067124
"CHMP thumbs up for label extensions in Europe,?",[0.6949951  0.0567089  0.24829602],positive,0.63828623
"J&amp;J finance chief warns on reliability of guidance amid Covid-19 outbreak,?",[0.07214901 0.88826126 0.03958971],negative,-0.8161123
"ViiV Healthcare long-acting HIV med OK'd in Canada,?",[0.05001215 0.13694139 0.8130464 ],neutral,-0.08692924
"Profit-taking pressures Moderna after Hahn comments on vaccine timeline,?",[0.02123463 0.94394976 0.03481561],negative,-0.9227151
"J&amp;J files U S  application for MS med ponesimod,?",[0.03513439 0.06728943 0.8975762 ],neutral,-0.032155037
"Darunavir unlikely to be effective against COVID-19 - J&amp;J,?",[0.07057528 0.38413903 0.54528564],neutral,-0.31356376
"U S  stocks set to gap down at open,?",[0.01929652 0.9252266  0.05547683],negative,-0.9059301
"J&amp;J launches COVID-19 vaccine program,?",[0.04909668 0.03060683 0.92029655],neutral,0.01848985
"Thermo Fisher teams up with J&amp;J to develop cancer companion diagnostic test,?",[0.65805876 0.01374251 0.3281987 ],positive,0.64431626
"J&amp;J MET antibody nabs accelerated review status for certain lung cancer patients,?",[0.10489335 0.02617531 0.8689314 ],neutral,0.07871804
"Final tally from FDA testing of cosmetic products for asbestos: 17% positive,?",[0.10361853 0.3998516  0.49652988],neutral,-0.29623306
"ViiV Healthcare reports positive data on less-frequent dosing of HIV regimen,?",[0.91701055 0.04179652 0.04119295],positive,0.87521404
"J&amp;J on short end of Remicade patent ruling,?",[0.04041779 0.7557262  0.20385598],negative,-0.7153084
"""Coronavirus plays - vaccines, drugs &amp; infection control products"",?",[0.02341097 0.0254442  0.95114475],neutral,-0.0020332225
"""J&amp;J should separate CEO and chairman roles, shareholder says"",?",[0.03414893 0.05375765 0.9120934 ],neutral,-0.019608721
"U S  authorities ramp up coronavirus plans on expected jump in cases,?",[0.28869644 0.40920618 0.30209738],negative,-0.12050974
"FDA OKs Sanofi drug for previously treated multiple myeloma,?",[0.21731341 0.06962673 0.71305984],neutral,0.14768668
"J&amp;J gene therapy nabs accelerated review status in Europe for vision loss disorder,?",[0.09353347 0.22511244 0.6813541 ],neutral,-0.13157897
"Co-Diagnostics up 59% premarket on availability of COVID-19 test,?",[0.92389506 0.05009675 0.02600814],positive,0.8737983
"J&amp;J told to pay $9M in talc cancer jury ruling,?",[0.086588   0.48440623 0.4290058 ],negative,-0.39781824
"""Apple roundup: Coronavirus impacts timeline, stroke study with J&amp;J"",?",[0.05427641 0.04727258 0.89845103],neutral,0.0070038326
"Dems attack Trump over stalled efforts to lower drug prices,?",[0.01620423 0.9509424  0.03285347],negative,-0.93473816
"Molecular Templates up 8% on ETB advancement,?",[0.9410995  0.03059268 0.02830779],positive,0.91050684
"Opioid-related payouts to be less than expected - NYT,?",[0.01673502 0.9666831  0.01658187],negative,-0.9499481
"J&amp;J's Stelara shows positive action in late-stage Crohn's study,?",[0.47347596 0.03139376 0.49513027],neutral,0.4420822
"J&amp;J teams up with BARDA to accelerate coronavirus vaccine development,?",[0.8594443  0.00986583 0.13068989],positive,0.8495785
"J&amp;J files U S  application for expanded use of Darzalex,?",[0.04774988 0.01110234 0.94114774],neutral,0.036647543
"""Coronavirus outbreak continues to spread, still largely restricted to Hubei province"",?",[0.2514622  0.13641165 0.6121262 ],neutral,0.11505054
"Coronavirus cases inch up in U S  but still very light,?",[0.45726904 0.2580305  0.28470042],positive,0.19923854
"Johnson &amp; Johnson told to pay $750M in New Jersey talc case,?",[0.03880052 0.6475448  0.3136547 ],negative,-0.60874426
"Coronavirus cases remain modest in U S ,?",[0.08179951 0.571215   0.34698552],negative,-0.48941547
"European advisory group backs expanded use of J&amp;J's Rezolsta,?",[0.7708882  0.01422448 0.21488732],positive,0.75666374
"J&amp;J ordered to pay $344M in pelvic mesh case,?",[0.02862823 0.8794086  0.09196328],negative,-0.85078037
"J&amp;J enters coronavirus fray with planned vaccine,?",[0.07530259 0.08226581 0.8424316 ],neutral,-0.006963223
"Expanded use of J&amp;J's Invokana OK'd in Canada,?",[0.66126794 0.00786286 0.3308692 ],positive,0.6534051
"""J&amp;J baby powder is safe, CEO testifies in court case"",?",[0.16585998 0.10822345 0.7259166 ],neutral,0.057636537
"Expanded use of J&amp;J's Stelara OK'd in Canada,?",[0.6682503  0.00810718 0.32364252],positive,0.66014314
"Judge OKs ad blitz for opioid epidemic claimants,?",[0.07169746 0.18947093 0.7388316 ],neutral,-0.11777347
"Prison time for the opioid crisis,?",[0.03541083 0.7581314  0.20645778],negative,-0.72272056
"Genmab earns $150M Darzalex milestone from J&amp;J,?",[0.86830384 0.03425323 0.09744292],positive,0.8340506
"JNJ EPS up 34% in Q4,?",[0.9362924  0.04018986 0.0235177 ],positive,0.89610255
"""Johnson &amp; Johnson EPS beats by $0 01, misses on revenue"",?",[0.17323793 0.24875946 0.57800263],neutral,-0.07552153
"Johnson &amp; Johnson Q4 2019 Earnings Preview,?",[0.05734179 0.27056864 0.6720896 ],neutral,-0.21322685
"Judge reduces J&amp;J Risperdal damages 99 9%,?",[0.01641488 0.9529199  0.03066526],negative,-0.936505
"J&amp;J files application in Europe for expanded use of Spravato,?",[0.25091806 0.00765122 0.7414307 ],neutral,0.24326685
"Drugmakers getting creative over ways to pay for pricey meds,?",[0.26921806 0.0777887  0.65299326],neutral,0.19142936
"J&amp;J to collaborate with Exonate in eye diseases,?",[0.4577948  0.00837587 0.53382933],neutral,0.4494189
"Janssen to expand R&amp;D footprint in San Francisco,?",[0.8435362  0.01043355 0.14603026],positive,0.83310264
"Endo settles opioid case in Oklahoma,?",[0.04092455 0.7217737  0.23730177],negative,-0.68084913
"Kaleido Bio teams up with J&amp;J to identify microbiome metabolic candidates,?",[0.47221828 0.01176861 0.51601315],neutral,0.46044967
"California mulling private-label generics to address high drug costs,?",[0.38789636 0.04048318 0.57162046],neutral,0.34741318
"Johnson &amp; Johnson settles talc trial in California,?",[0.03418883 0.06078289 0.90502834],neutral,-0.026594061
"Mabpharm files application for Remicade biosimilar in China,?",[0.05955188 0.01234525 0.9281029 ],neutral,0.047206633
"I-Mab Biopharma commences registrational MM study in China,?",[0.0855474  0.00956364 0.9048889 ],neutral,0.07598376
"End-of-year drug approvals in U S  associated with more adverse events - study,?",[0.12943196 0.23464456 0.6359235 ],neutral,-0.1052126
"Washington state sues J&amp;J over role in opioid epidemic,?",[0.01569786 0.9502854  0.03401679],negative,-0.93458754
"Pulmatrix up 49% premarket on J&amp;J deal,?",[0.88870555 0.07567027 0.03562411],positive,0.81303525
"Johnson &amp; Johnson declares $0 95 dividend,?",[0.04219464 0.11214728 0.845658  ],neutral,-0.06995264
"""Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom"",?",[0.03133078 0.8605795  0.10808966],negative,-0.8292487
"Drugmakers to hike U S  prices of over 200 meds,?",[0.4761878  0.29905367 0.22475848],positive,0.17713413
"X4 Pharma launches early-stage study of lead drug in rare type of NHL,?",[0.1334429  0.05194922 0.81460786],neutral,0.081493676
"Johnson &amp; Johnson's Tremfya gets China approval,?",[0.79313207 0.01990423 0.1869637 ],positive,0.7732278
"J&amp;J acquires Taris Biomedical,?",[0.04084974 0.02353217 0.9356181 ],neutral,0.017317569
"Johnson &amp; Johnson to acquire remainder of Verb Surgical,?",[0.03208729 0.02832041 0.93959236],neutral,0.0037668794
"J&amp;J's Spravato OK'd in Europe for treatment-resistant depression,?",[0.0874371  0.09145519 0.8211077 ],neutral,-0.0040180907
"White House releases plan allowing drug imports from Canada,?",[0.3705067  0.03044211 0.59905124],neutral,0.3400646
"Purdue paid out $10 4B amid opioid crisis,?",[0.23848595 0.5012608  0.26025322],negative,-0.26277488
"USPTO allows challenge to key Intuitive Surgical patent,?",[0.6027502  0.08001353 0.31723627],positive,0.52273667
"BeiGene's zanubrutinib fails to beat Imbruvica in WM study; shares down 9% PM,?",[0.01165699 0.9730204  0.01532272],negative,-0.9613634
"European advisory group backs new use of J&amp;J's Erleada,?",[0.41376305 0.01996301 0.566274  ],neutral,0.39380005
"European advisory group backs expanded use of J&amp;J's Darzalex,?",[0.77212566 0.01192577 0.21594854],positive,0.7601999
"""House passes drug pricing bill, Senate unlikely to support"",?",[0.33575028 0.14121519 0.5230346 ],neutral,0.19453509
"SCOTUS rejects Arizona opioid case against Purdue Pharma &amp; Sackler family,?",[0.03867904 0.6566222  0.30469877],negative,-0.6179431
"Kinase inhibitors in focus after Merck bid for ArQule,?",[0.05677902 0.6561461  0.2870749 ],negative,-0.5993671
"J&amp;J CAR T shows significant treatment benefit in refractory MM patients,?",[0.72365767 0.02005603 0.25628626],positive,0.70360166
"XBiotech out-licenses anti-inflammatory antibody to Janssen for up to $1 35B,?",[0.36825258 0.01626979 0.6154776 ],neutral,0.3519828
"J&amp;J CAR T nabs accelerated review status in U S  for multiple myeloma,?",[0.12646714 0.07714023 0.7963926 ],neutral,0.04932691
"FDA OKs Amgen's Remicade biosimilar,?",[0.12856324 0.2541612  0.61727554],neutral,-0.12559797
"JNJ says no asbestos found in baby powder,?",[0.02262851 0.894551   0.0828205 ],negative,-0.8719225
"Federal prosecutors launch criminal opioid probe - WSJ,?",[0.02987608 0.7966866  0.17343734],negative,-0.76681054
"J&amp;J loses pelvic mesh suit in Australia,?",[0.02409874 0.93621624 0.03968499],negative,-0.9121175
"Launch of new generic drugs in U S  still lags - WSJ,?",[0.08999056 0.54090893 0.3691005 ],negative,-0.45091838
"State AGs agree to (temporarily) halt opioid lawsuits against Purdue Pharma,?",[0.3300738  0.20479481 0.46513137],neutral,0.125279
"Expanded use of J&amp;J's Darzalex OK'd in Europe,?",[0.72937375 0.00817327 0.2624529 ],positive,0.72120047
"J&amp;J launches innovative study for expanded use of Invokana,?",[0.6603896  0.00905822 0.33055225],positive,0.65133137
"Oklahoma judge lowers J&amp;J's opioid epidemic tab by $107M,?",[0.0197562  0.95629215 0.02395159],negative,-0.93653595
"NY opioid trial pushed back three months,?",[0.08288348 0.68966895 0.22744758],negative,-0.6067855
"Imbruvica combo OK'd in Canada for certain CLL patients,?",[0.07757925 0.39283174 0.529589  ],neutral,-0.31525248
"AbbVie files U S  application for Imbruvica combo for first-line CLL/SLL,?",[0.09468454 0.01394075 0.8913747 ],neutral,0.08074379
"Boston nonprofit playing big role in drug pricing,?",[0.06044889 0.00998659 0.92956454],neutral,0.050462306
"Wright Medical Group up 8% premarket on possible sale,?",[0.8517842  0.08381396 0.06440178],positive,0.76797026
"J&amp;J recalls surgical staplers on safety issue,?",[0.04357306 0.3604342  0.5959928 ],neutral,-0.31686115
"J&amp;J in uncomfortable spot after asbestos tests,?",[0.02374868 0.84049344 0.1357578 ],negative,-0.81674474
"Additional tests found no asbestos in J&amp;J Baby Powder,?",[0.04907712 0.48224238 0.46868053],negative,-0.43316525
"Johnson &amp; Johnson shares halted pending news,?",[0.01590325 0.90357125 0.08052555],negative,-0.887668
