,Cnsmr,Manuf,HiTec,Hlth,Other
CLF16OV,0.004825373380394488,0.0001466366043750009,0.003285268050242473,0.0026744069792843917,0.0008650255418647391
T10YFFM,0.004601461322487869,0.00346201356298429,0.0021208961491029727,0.0021015217035943432,0.0009977818490862983
CPIAUCSL,0.00459416517985942,0.00024917922987268684,0.0018843437763168308,0.0010084711102915785,0.0008818427209016222
AMDMUOx,0.004567685945773826,0.0002770106980364663,0.009190118556593171,0.00213378230413386,0.0038003855163009897
IPNMAT,0.004495948475497645,0.001308897049488259,0.0010138849345300192,0.009805372565177965,0.002773202183638977
OILPRICEx,0.004494181716708111,0.004166325990016429,0.00640124379505469,0.003086915302915634,0.00186093493033047
CPITRNSL,0.00436333075694946,0.00012128355290735287,0.006749680416226272,0.0022524870207932496,0.0004830454264793798
BAAFFM,0.004163856961476538,0.008587849076345593,0.002921808093365589,0.00466574916097659,0.002277781208490491
NONBORRES,0.004107819084541897,0.0005062939208937413,0.0005850122059570239,0.002294181141598054,0.0019566701519834044
GS5,0.004051205603195663,0.007095315180045719,0.00037189932409627485,0.0005732986052018082,0.0005547986895808325
ANDENOx,0.003934965594175245,0.007853153174162344,0.0009419220664170562,0.009174021462320008,0.013144718856458435
DMANEMP,0.003906427716327991,0.0025764040730897075,0.004050734505810088,0.004509428024183923,0.0005914091848438323
CONSPI,0.0036434193420167684,0.017350722178599856,0.0011641959447430668,0.0017472140652265808,0.0017944996992789169
CPIULFSL,0.003533763577901432,0.00437641205079801,0.004646256253732309,0.0007108986479202711,0.005195596446625718
IPBUSEQ,0.003145314670819393,0.0028643675723277794,0.00105631706202848,0.009732471407218456,0.0011343258417047192
WPSFD49207,0.003032116421252799,0.011417631513146004,0.0009075588194254015,0.004764667401155839,0.0036024161815647942
HOUST,0.00289689298014831,0.0031746234418857156,0.0029234760809176003,0.007051377194766103,0.004596593875467261
AAA,0.00279933579741347,0.00038119560474524013,0.0002304347868184423,0.007593938627621502,0.0008700405123440554
UEMP27OV,0.0027848403587120998,0.0009998079005205222,0.006690868857271023,0.002634602961693154,0.008481879974960006
CUSR0000SAD,0.002722880791996051,0.0037978522003347197,0.0064541571525017945,0.010486598733825634,0.016478682063397615
IPDMAT,0.00265669704745107,0.0010176313784192675,0.00032114796893223786,0.006708185083577543,0.0004938422729462697
DTCTHFNM,0.0025813391675349145,0.002938570970736487,0.007608209080455401,0.0035693160354340323,0.0036095799636501912
CUSR0000SA0L5,0.0025135494851602,0.0006572272043474397,0.000613969637171388,0.0004552282533874437,0.0020811199771591823
UNRATE,0.002508904006155691,0.0013053909563565094,0.004364868132838598,0.005207953728004076,0.00036797384734975585
DNDGRG3M086SBEA,0.0024700286822618885,0.03500085929540833,0.008658737891917912,0.0068793233881362095,0.00519487241874919
PERMITW,0.002340620606182311,0.00785975559899883,0.013201522615816037,0.019812706902629172,0.002733706443613971
USTRADE,0.002331011889619758,0.00022738294586891107,0.004984487278086648,0.005971709476971078,0.00014174603856532668
AWOTMAN,0.0022990322426232174,0.000770886788608994,0.00019693183272031814,0.0004183800357931248,0.0001761254893100142
HWIURATIO,0.0021744604222996497,0.00040706890020297945,0.0015611265780827034,0.00233721854334323,0.00019928072689395822
CES0600000007,0.002133252884285079,5.872272769333867e-05,0.002064440310033796,0.005429219500502249,0.0013236406339412485
CPIMEDSL,0.0018237162282797575,0.0012864155139470173,0.000245360197457363,0.0004537088734467121,0.00010536784142465377
SRVPRD,0.0017500971034258316,0.001261151077134658,0.0011090327368585384,0.003358658335162448,0.0019383155863110064
EXUSUKx,0.0017314745542034854,0.004008333284880582,0.005174647947919384,0.005068781611891408,0.010257844715975992
T5YFFM,0.0016709050961317704,0.0012644464659837958,0.0009363888522482555,0.00258944488943894,0.0013418649293049467
T1YFFM,0.00166323664480322,0.0017370882989507347,0.002029188032006807,0.00305441024405611,0.009537734943881614
S&P: indust,0.0016450882906142873,0.0038237530155357637,0.00018127355546481488,0.0017422962366979552,0.0007352636587563307
USTPU,0.001635876811923932,0.002365212406292659,0.004667656439490346,0.00040657861519655965,0.0005083937659083545
CES3000000008,0.001541958968446673,0.0032738793429029937,0.00011403370776241352,0.0013646719119689,0.0002707934113594776
HWI,0.0015402650571357008,0.003211691808526288,0.0016534678447298451,0.004538169550981494,0.0007937247394927559
BUSINVx,0.0015402551852437352,0.01004346502019714,0.0006076525938556978,0.0046979065535288685,0.0037662205100632484
IPFUELS,0.001479752320914775,0.016285304193289732,0.0017729466025943757,0.0016483369563610954,0.02631949345084572
CPIAPPSL,0.0014104167236471726,0.0027088085652797332,0.012620003831099775,0.0040520853284100435,0.0007514661459149104
TB6MS,0.0013827691295997438,0.00026080726091873193,0.001230798633122529,0.00037215001375804686,0.004179098003025858
CUMFNS,0.0013499277536786428,0.002215144893846779,0.004069396166712191,0.004322820551878951,0.00033315271033489314
PCEPI,0.0013199961300380584,0.0005055577912323706,0.00017330469418460267,0.0018281747852613123,0.0005643420512560391
CES0600000008,0.001315926558382803,0.0007628695530629186,0.00038531768110018264,0.0004212559532455143,0.0009825130727687446
FEDFUNDS,0.0013136477690498505,0.0006408346008110754,0.0056961196814538295,0.002882720725392446,0.002047269813611662
TB6SMFFM,0.0012579795851833354,0.001972150512206788,0.002108170877254986,0.000404894930223139,0.012778190189043092
DTCOLNVHFNM,0.0012345849131184883,0.00036604583898543837,0.004271302204745797,0.0018511138864927893,4.4049336895579045e-05
MZMSL,0.0011132668091474404,3.9980553364651735e-05,8.109242911305831e-05,0.0009350846945397334,0.0006286361605278616
TOTRESNS,0.0010891553371967888,6.029607224099681e-05,0.00031046877386760785,0.003338104938644728,0.0021299636579987687
USCONS,0.0010726646164347393,0.020941894150860025,0.004945390715124001,0.0024216963639021156,0.01931501355619346
IPCONGD,0.0010026017900225833,0.001405136253615147,0.0021287123628489185,0.007452217781234316,0.001695218812147753
S&P 500,0.000924480930979418,0.0009830708653125457,0.002702890793520994,0.0022703033875015773,0.004487290611466667
TB3SMFFM,0.0008828350283340034,0.002458967144979968,0.003764728246320947,0.004713220648331802,0.011961094879810048
USGOOD,0.0008551266870053896,0.002941016855522447,0.0008651929497582624,0.004422851050189507,0.0024665941531588293
IPNCONGD,0.0008524362155312614,0.0032112487070926885,0.005460377149038841,0.03578494475398918,0.0009377450091814571
ACOGNO,0.0008362477336574634,0.0014075033270346332,9.005295332494999e-05,0.00868431345579931,0.008613769680909902
IPMANSICS,0.0007933554552436336,0.0013814487365089048,0.0019601627670744457,0.010813850732831446,0.000825114039110018
PAYEMS,0.0007608068763113446,4.2207013569045455e-05,0.000794277067256044,0.0008922907022279993,0.0003833775915342777
TB3MS,0.0007495170518025623,0.002043455556187854,0.000857239176582317,0.002021311837875881,0.0013294671005078529
AAAFFM,0.0006803848607443337,0.0011685779119215217,0.003986119667125201,0.006355249975972405,0.002978471982925113
DDURRG3M086SBEA,0.0006328770916610145,0.0006630741246155485,0.00097490414474038,0.002797331374997272,0.0021869999306713527
DSERRG3M086SBEA,0.0006181097043554698,0.001208672942512334,0.0010149338951191285,0.0008536776773604044,0.00014533252804072854
PPICMM,0.0005852868203763367,0.014185745039114288,0.002715051128977188,0.010197982900540348,0.012925112847269127
AWHMAN,0.000578125871465432,0.004104412914423494,0.0006696473841711283,0.0002752530007061996,0.0010931240641630796
IPFPNSS,0.0005702110296165832,0.002979482982877598,0.0012845810705424993,0.0010198641713240902,0.0006699805677362694
CMRMTSPLx,0.0005535814751052528,0.00039254453647923906,0.004228469654902771,0.009305247566316068,0.0015490336871393754
BAA,0.0005475631582782266,0.0007211043200954287,7.526731654755108e-05,0.0021294917722911545,0.008179814342230854
GS1,0.0005341337826164811,0.003719452976036564,0.0009471446210782379,0.004726033181931757,0.0011939909731990886
INDPRO,0.0005337158786047436,0.001273908459024073,0.008046739237216844,0.0035932912713416637,0.001524259254741216
INVEST,0.0005259593736386804,0.0007492199400727055,0.0008310982981546111,0.004166583594288134,0.0008357294682676196
IPFINAL,0.0004822463209218928,0.0003518298768355916,0.0017108878606685452,0.0010587075217299486,0.003015916775650473
M2REAL,0.00039750324613656887,0.001961313910665409,0.0005389976289216966,0.0011895841893572751,0.0009571569290801544
CES2000000008,0.00035812752255409897,0.00037829155249610795,0.0014185033547031351,0.0003552796703269443,0.0007446629810615668
M1SL,0.00034209261013646577,0.0009359966713778666,0.003154053262585554,0.0002962153474320776,0.0005062216128287585
IPMAT,0.0003385479437478175,0.00042326987470961116,0.0023397240705524693,0.004048003003501347,0.0003084749741068132
NDMANEMP,0.0002742884575634354,0.0008119910629158455,0.0014740382605142358,0.0012709890860079125,0.0005467638612233531
M2SL,0.0002674336681795608,0.0002313702172467413,0.0032350757655490486,0.000210159059777584,0.0019097817939883938
RPI,0.0002571304456264905,0.0018107731172994686,0.002363769087347149,0.008962604092878442,0.0007195707121830691
WPSFD49502,0.0002474090185283402,0.004662212082896913,0.0023070027835027924,0.0019950326269207626,0.006278436764717704
WPSID61,0.0002315544430450401,0.00025083436914151176,0.0023228030007920787,0.0028815742175923157,0.00014126401287862928
RETAILx,0.00018442373655469242,0.0016841578072179888,2.8230466162573894e-05,0.0010398249724633195,0.0008512904824046829
MANEMP,0.0001756953716637567,0.0009446908183394484,0.007609747810927001,0.0006719183368464554,0.0005884713536347469
CE16OV,0.00014864225812284438,0.0003650272608079175,0.0003653089040301127,0.00019746687937224794,0.0006117298567835458
DPCERA3M086SBEA,0.00012027454920532023,0.0002207256028683751,0.0002605424209813948,0.0007018134535508634,0.00032542209711876964
CUSR0000SA0L2,3.9221285540698226e-05,0.0014217273691598511,0.002020493327566844,0.003277020082781269,0.00012429107758136072
NONREVSL,1.177089913210552e-05,0.00020143411591792747,0.00015288839152577255,0.0020108034284817273,0.00016924494733164556
